"ID","Owner Name","Property Address","City","ZIP","Folio Number","Damage Type","Score","Date","Email","Phone","Status","Permit Type","Permit Date","Storm Event"
"lead-001","Carlos Mendoza","1427 SW 8th St","Miami","33135","01-4109-012-0450","Hurricane/Wind","94","2026-03-18","c.mendoza@gmail.com","(305) 771-4422","New","Roof Replacement","2026-03-10","Hurricane Helene (Sept 2025)"
"lead-002","Patricia Williams","3812 NW 7th Ave","Miami","33127","01-3124-007-2210","Roof","88","2026-03-20","pat.williams@outlook.com","(786) 334-9910","Contacted","Emergency Roof Repair","2026-03-14","Tropical Storm Beta (Oct 2025)"
"lead-003","José Antonio Rivera","540 Brickell Ave, Unit 1201","Miami","33131","01-4138-067-1201","Flood","91","2026-03-15","","(305) 882-7744","New","Water Damage Restoration","2026-03-08","Hurricane Helene (Sept 2025)"
"lead-004","Maria Elena Gutierrez","7901 SW 40th St","Miami","33155","30-4027-031-0810","Hurricane/Wind","79","2026-03-10","megutierrez55@yahoo.com","","New","Window & Door Replacement","2026-03-03","Hurricane Helene (Sept 2025)"
"lead-005","Robert Thompson","10245 SW 56th St","Miami","33165","30-5930-001-0090","Structural","97","2026-03-22","rthompson@comcast.net","(305) 447-8831","New","Structural Repair — Foundation","2026-03-17","Hurricane Helene (Sept 2025)"
"lead-006","Yolanda Fernández","2340 NW 95th St","Miami","33147","01-2126-003-0470","Fire","86","2026-03-05","yfernandez@gmail.com","(786) 201-5567","Contacted","Fire Damage Rebuild","2026-02-28","Electrical Fire — Feb 2026"
"lead-007","David Chen","1100 Biscayne Blvd, Unit 3402","Miami","33132","01-3230-089-3402","Flood","72","2026-03-12","","","New","Interior Flood Restoration","2026-03-05","Tropical Storm Beta (Oct 2025)"
"lead-008","Alejandro Morales","8455 NW 12th St","Miami","33126","30-3013-011-0290","Hurricane/Wind","85","2026-03-19","amorales@bellsouth.net","(305) 593-4412","New","Roof & Soffit Repair","2026-03-13","Hurricane Helene (Sept 2025)"
"lead-009","Sandra Johnson","14320 SW 87th Ave","Miami","33176","30-5034-012-0780","Roof","67","2026-02-28","sandraj@hotmail.com","","Closed","Roof Re-deck & Shingle","2026-02-20","Tropical Storm Beta (Oct 2025)"
"lead-010","Miguel Ángel Pérez","3500 Coral Way","Miami","33145","01-4127-023-0110","Structural","93","2026-03-21","maperez@gmail.com","(786) 447-2230","New","Load-Bearing Wall Repair","2026-03-15","Hurricane Helene (Sept 2025)"
"lead-011","Lisa Ramirez","22 SW 11th St, Apt 4B","Miami","33130","01-4139-059-0042","Flood","78","2026-03-08","","(305) 856-1190","Contacted","Plumbing & Water Intrusion","2026-03-01","Tropical Storm Beta (Oct 2025)"
"lead-012","Francisco Vega","18750 NW 67th Ave","Hialeah","33015","04-2019-008-0340","Hurricane/Wind","90","2026-03-16","fvega_hia@gmail.com","(305) 628-7710","New","Fence & Structural Damage","2026-03-09","Hurricane Helene (Sept 2025)"
"lead-013","Angela Davis","6130 NW 2nd Ave","Miami","33150","01-3107-002-0560","Fire","61","2026-02-14","","","New","Smoke & Fire Damage Repair","2026-02-07","Kitchen Fire — Jan 2026"
"lead-014","Eduardo Castillo","4455 SW 75th Ave","Miami","33155","30-4033-039-0120","Roof","83","2026-03-11","eduardoc@att.net","(786) 662-4477","Contacted","Full Roof Replacement","2026-03-04","Tropical Storm Beta (Oct 2025)"
"lead-015","Jennifer Ortega","11240 SW 184th St","Miami","33157","30-6034-017-0890","Flood","76","2026-03-03","jortega_miami@gmail.com","","New","Flood Mitigation & Elevation","2026-02-25","Hurricane Helene (Sept 2025)"
"lead-016","Thomas Mitchell","9800 Old Cutler Rd","Coral Gables","33156","03-4132-011-0230","Structural","95","2026-03-23","tmitchell@coral-gables.net","(305) 667-8822","New","Retaining Wall & Structural","2026-03-18","Hurricane Helene (Sept 2025)"
"lead-017","Rosa Elena Díaz","231 W Flagler St","Miami","33130","01-4139-000-0430","Hurricane/Wind","71","2026-03-07","","(305) 374-6610","New","Commercial Facade Repair","2026-02-28","Hurricane Helene (Sept 2025)"
"lead-018","Kevin Brown","16301 NE 19th Ave","North Miami Beach","33162","07-2209-020-0660","Roof","58","2026-02-20","","","New","Partial Roof Repair","2026-02-13","Tropical Storm Beta (Oct 2025)"
